,Title,Link,Description,Day,Month,Year,Hour,Creator,Topic
10,Absolute Nightmare Getting a Line Installed,https://business.forums.bt.com/t5/Phone-line/Absolute-Nightmare-Getting-a-Line-Installed/m-p/85967#M3584,"Hi there,             I scarcely know where to begin, our tale of woe has been ongoing for about a year. I am writing on behalf of Crich Baptist Church, in Derbyshire. Wayback, early in 2021 I contacted BT Business to have the telephone and broadband installed at the church.             The engineer duly arrived, but with the church being clad in scaffolding at the time due to major refurbishment works, he advised us that there was nothing he could do because of the scaffolding. We accepted this, and agreed to arrange another appointment when the scaffolding was removed. It is important in this long-running saga, to say that the church is Grade II listed, so it is essential to say that you can’t just attach anything to the outside of the building that would contravene any conservation observations by the local planning authority. This has been repeatedly emphasised to people we have spoken to at BT, plus of course, the engineers when they have arrived on site.                         I should say that BT Business, in Stoke, advised us initially that the product we needed was Cloud Voice Express. Subsequently, after several months, we were told that this would not be appropriate for us, so a normal line would be needed. We have supply poles, with distribution boxes attached which are nearby, there is at least one ‘carrier pole’ within yards of the church, but the problem with that, is the line, if so attached there would be too low across a busy road. The green boxes containing the connections from the Exchange are just outside the church wall. I humorously often say that if they were any closer they would be inside!             Orders have been raised then cancelled. New orders have been placed, then they have been cancelled and others raised, and on and on it goes. Sometimes, with each new order, new kit has been sent, including Smart Hubs, Hybrid connections, plus the round Wi-Fi discs. I joke that we must have more kit that BT. When I have raised this with visiting engineers and people on the phone, I have been advised not to send the equipment back just yet, and so it continues to build up.             An important factor is to say that we have had one access survey. This went well, the guy was fantastic, and we really thought we were getting somewhere at last. The surveyor told us, that in his opinion the line should be brought in underground. He took measurements, both outside the church and in. A quote for the extra work was raised and accepted. Since then, nothing has happened. I suspect someone has vetoed that idea.             The idea was eventually raised that we needed a second survey. Since then, despite several attempts by me to push the matter, absolutely NOTHING has been mentioned to us about this idea.             Literally, I have spent hours and hours on the phone, both to order management in India, and various folks here in the UK. We were ’told’ to raise a complaint, the BT staff seem to have done that. My personal view after spending what seems half my life on this matter, is that having order management in India and other BT   Openreach offices here in the UK is not a great idea, and may be part of the problem.                         I have also WASTED TIME down at the church on numerous occasions, when appointments have been made within a time-slot, say 8am-1pm, only for no engineer to turn up. Later, I have discovered that they have done work at the exchange and not needed to come to the church. If that was to be the case WHY was that not made clear in the e-mail I received announcing the appointment. An e-mail incidentally, which threatened us with a penalty of £130 if access to the church was not available for the engineer.             Yet another engineer’s visit is arranged for Thursday, 17th February, in a time-slot of 1pm-6pm. I am not at all confident that this will be anything other than ‘more of the same’. By the way, the engineers are good guys, so I don't blame them for the debacle.             So much more could be written, but lest I bore the pants off you by writing even more, it is utter incompetence! By whom, and where, is for others to judge, I know what I think. Let me just conclude by   STRONG PLEADING for the SECOND SURVEY   STRONG  to be arranged as suggested. That, I feel, would at least give us, BT &amp amp  Openreach a better idea what needs to be done.             I hope that someone who reads this may be able to help.             Best wishes,             Alan ",11,Feb,2022,08,CBC-AlanF,Phone-systems
11,BT Business and Yealink DECT IP Phone W60B &amp; W56H - Cant access Voicemail as noone knows PIN,https://business.forums.bt.com/t5/Phone-line/BT-Business-and-Yealink-DECT-IP-Phone-W60B-amp-W56H-Cant-access/m-p/85909#M3574,Hello             im new to my office and the person previously in my position set the voicemail on the phone but hasnt actually told anyone the PIN once they left.             does anyone know how i can reset it?             thank you ,01,Feb,2022,15,Halfern,Phone-systems
12,Caller display not working on business line,https://business.forums.bt.com/t5/Phone-line/Caller-display-not-working-on-business-line/m-p/85897#M3571,"I changed from a BT domestic to a BT Business account.  Since then caller display has never worked.  When I was with BT domestic it worked perfectly.  I use a BT 8600 cordless handset.  I have the phone and nothing else plugged into the master socket, an OpenReach 5c.  I have reported this five times and BT keeps closing the fault without ever checking with me.  If I dial *#234# it tells me caller display is active.  All I get for incoming calls is 'no number'.             Any suggestions?  I have raised a complaint and that is crawling along but with no progress. ",28,Jan,2022,15,kelper,Phone-systems
13,Yealink T46U IP Phones and Bt Business Hub,https://business.forums.bt.com/t5/Phone-line/Yealink-T46U-IP-Phones-and-Bt-Business-Hub/m-p/85895#M3569,"Hi,               My friend has recently purchased Yealink T46U IP Phones from BT Business for his office. He was sent 2 handsets and the 1st handset connected ok to the Business hub via ethernet and he has now plugged in the 2nd handset and connected into Business hub via ethernet but the handset won't connect, is there something he is doing wrong during setup?                Looking through the instructions on the PDF it doesn't mention about plugging in another handset is there any way of doing this or is it only 1 handset per BT Hub and per account?               Any help would be appreciated.               Thanks               Pete ",27,Jan,2022,17,PM75,Phone-systems
14,ORDI Fault (OR5492),https://business.forums.bt.com/t5/Phone-line/ORDI-Fault-OR5492/m-p/85797#M3561,"Hi,             Please can someone assist in resolving our ORDI Fault.             many thanks ",03,Dec,2021,10,42Technology,Phone-systems
15,TalkTalk vs BT = No working phone,https://business.forums.bt.com/t5/Phone-line/TalkTalk-vs-BT-No-working-phone/m-p/83540#M3553,I transferred from TalkTalk to BT Business and my physical line was moved to a digital one.     But the number was never setup so I can make calls out but cannot receive calls.     I have spoken to BT numerous times being passed around for hours on end and also spent 5hrs talking with TalkTalk who did the same. BT blame them - they blame BT. I asked for the physical line to be added to my account (and I would pay) but was told they no longer do that.     I am left without a phone that people can ring and without a service people can use. The church has had this number for over 20 years!     Having rung again today I am told that the order was cancelled and will be reopened but it does not look promising. Can anyone help? ,03,Dec,2020,18,Russell-P,Phone-systems
16,Block numbers on cloud voice service,https://business.forums.bt.com/t5/Phone-line/Block-numbers-on-cloud-voice-service/m-p/85454#M3548,"I am trying to create a block list of nuisance numbers (microsoft wanting to fix my internet, etc) but when I try to update my block list I get the error message ""Failed to update blacklist"".             This happens when I select multiple numbers from my recently received calls.             If I manually add a number (wherein I see a name is required), I get the same message but a page refresh shows the number is added.             Am I right in thinking that the bulk add to block list is failing because each entry needs a name, and there are no names on the recent caller list? Surely they could put the phone number in the name field? ",21,Oct,2021,12,nixonxyx,Phone-systems
17,Telephone Line Carrier,https://business.forums.bt.com/t5/Phone-line/Telephone-Line-Carrier/m-p/85436#M3547,"Hello,             I am trying to find out who is supplying the charity I work for with several phone lines having discovered that two of our suppliers are both billing us for the same numbers.             I have used a couple of online services to determine the carrier on the lines, and 33 numbers are shown as belonging to BT plc. Naturally I don't want to go into detail here or list all the number on a phone call, but there is no way to email anyone.             Suggestions please.             Thanks,             Paul ",19,Oct,2021,15,mpaul,Phone-systems
18,Disconnecting someone off my BT landline.,https://business.forums.bt.com/t5/Phone-line/Disconnecting-someone-off-my-BT-landline/m-p/85311#M3546,"P class=""_1qeIAgB0cPwnLhDF9XSiJM"" A family member is using landline phone constantly incoming and outgoing.      P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM"" Is there a way to use computer or code on another handset to disconnect them without knowing it was me.      P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM"" I dont want to block incoming or outgoing calls and simply asking them makes no difference.      P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM"" Just want a way to disconnect the active call. Picking up other handset and pressing hangup obviously does nothing since it is in use on the other handset.      P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM"" Is there something I can do to get the call to drop other than pulling out the master cable.      P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM"" As said is there an engineer code to dial or perhaps something from a PC...      P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM"" Thanks ",05,Oct,2021,16,Scott105,Phone-systems
19,Continued unauthorised ceases on our BT business phone &amp; broadband,https://business.forums.bt.com/t5/Phone-line/Continued-unauthorised-ceases-on-our-BT-business-phone-amp/m-p/84878#M3537,On 16 July we began receiving a stream of 'Sorry you are leaving us' letters &amp amp  emails from BT advising us that another customer was taking over our services on 29 July.      I contacted them 6 times to tell them that we did not want to leave BT and had not spoken to or authorised anyone to take over our services. They assured me the cease would be removed and we would not lose our services.      On 29 July at 9.40 am our phone &amp amp  broadband went down. (An openreach engineer had been working in the street cabinet and at the house directly across the road from our business premises at the time our services went down)      I contacted BT and they arranged for an open reach engineer to come the next day.      He checked our internal line and then re-connected us in the street cabinet - within minutes we were back running.      The man in the house across the road later told me he had left Sky and just switched to BT in July.      It turned out they day we lost our services he was connected and given OUR business phone number as his new number!      The day we were re-connected he lost his services.      On 7 August the stream of 'sorry you are leaving us' BT letters and emails began again.      I have contacted BT every day since 9 August as the BT order provisions team tell me they have removed the unauthorised ceases but they never do. They are still showing on our account.      Now we are due to lose our services on 23 August when I guess they will re-connect the man cross the road to our line again as that is the same day the open reach engineer is scheduled to visit him to reconnect him!      I have been going round in circles. We are a small business with 3 employees and the majority of our business is ecommerce. We lose our phone and internet and we stop dead.       Does anyone know what else I can do?       It seems to be a mix up of address'.      I have given BT every detail of information regarding this situation. I have also sent letters and online complaint forms as well as all the phone calls and stiill it is not resolved. ,18,Aug,2021,19,motocdotcom,Phone-systems
20,E1 Cable Connection to a BT ASDH NTE 4U/7A providing Q.931 Service,https://business.forums.bt.com/t5/Phone-line/E1-Cable-Connection-to-a-BT-ASDH-NTE-4U-7A-providing-Q-931/m-p/84399#M3521,"class=""_3xX726aBn29LDbsDtzr_6E _1Ap4F5maDtT1E1YuCiaO0r D3IL3FD0RFy_mkKLPwL4""    class=""_292iotee39Lmt0MkQZ2hPV RichTextJSON-root""   P class=""_1qeIAgB0cPwnLhDF9XSiJM"" Hello all,      P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM"" I am struggling to connect my gateway to a BT ASDH NTE 4U 7A. This is providing a Q.931 ISDN service.      P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM"" My gateway installation manual says I need to make a 120 ohm crossover cable using Cat5 and RJ45 RJ48 connector by termianating as follows:      P class=""_1qeIAgB0cPwnLhDF9XSiJM"" Pin 1---Pin 4     Pin 2---Pin 5     Pin 4---Pin 1     Pin 5---Pin 2      P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM"" So I made the cable up and there isn't a Layer 1 link (customer LED is amber and not off). I have tried a straight through cable, still nothing      P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM"" I have another E1 link to a different BT ISDN unit (NTE 2D) and this connects fine to my other gateway which is exactly the same as my first gateway with exactly the same config but via a straight through patch cord.      P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM"" Can anyone advise if I need to use a special cable or a special pin out to interface to a BT ASDH NTE 4U 7A, or if there is an instalaltion manual datasheet for it please?      P class=""_1qeIAgB0cPwnLhDF9XSiJM""        P class=""_1qeIAgB0cPwnLhDF9XSiJM"" Thanks in advance! ",16,Jun,2021,13,skyblue1991,Phone-systems
21,Incorrect installation address of an existing line - Business Broadband,https://business.forums.bt.com/t5/Phone-line/Incorrect-installation-address-of-an-existing-line-Business/m-p/84393#M3520,"Hi,          One of our users accounts with BT Business Broadband has an incorrect installation address.  The line has been active for a number of years, so not sure how BT has an incorrect address.   The address is registered with Royal Mail. BT do not have it. I am trying to log a fault on the line, but BT say the address needs to be updated first and after spending about 3 hours on the phone to BT I am still nowhere near getting the address updated and everyone I spoken to say its not them or their dept that does it.  Do anyone know how to go about getting the installation address corrected?                      Thanks ",15,Jun,2021,10,Ranjster,Phone-systems
22,Phone book entry,https://business.forums.bt.com/t5/Phone-line/Phone-book-entry/m-p/82883#M3437,"Hi          Bt has been charging us for a phone book entry for who knows how long , we never asked for it never ordered it ,     Seems it's been added on since we didn't renew our contract , is this normal bt service , we thinking of switching now as we been ripped for atleast 6months or you think we can get this refunded ?          Any ideas people ",20,Apr,2020,19,Hmcc654,Phone-systems
23,Lost dialtone on AUX (multi line) group after *21* call diversion activated,https://business.forums.bt.com/t5/Phone-line/Lost-dialtone-on-AUX-multi-line-group-after-21-call-diversion/m-p/82882#M3436,"Hi all,             One of our customers has a multi line analogue AUX group (9 lines provided by BT all with the same number, it's a hotel) and has just ordered BT Call Divert (customer controlled) on those lines. This morning they activated the divert by dialling *21* (mobile number to divert to) #, and it works fine, all incoming calls are diverted to their divert number, but they have lost dialtone on all their lines it seems. I was under the impression that they would get broken dialtone (on-off-on etc) on their lines when diverted but the lines are just dead. They can't cancel the divert because they can't dial #21# with no dialtone. Has anybody had any experience with placing a call diversion on an analogue AUX group before, please? Is there a way to control the *21* call divert remotely, maybe from another line?             Thanks!             Dave ",20,Apr,2020,15,bigdave1980,Phone-systems
24,No Phone line or Broadband for 3 weeks!,https://business.forums.bt.com/t5/Phone-line/No-Phone-line-or-Broadband-for-3-weeks/m-p/82860#M3432,"Hi guys,              Hoping you can help with an issues I'm having. Been advised to move the thread over to here, please see the attached link to get up to speed with my issue.               A href=""https:  community.bt.com t5 ADSL-Copper-broadband No-Phone-line-or-Broadband-for-3-weeks m-p 2028461 highlight false#M276672"" target=""_blank"" rel=""noopener"" https:  community.bt.com t5 ADSL-Copper-broadband No-Phone-line-or-Broadband-for-3-weeks m-p 2028461 highlight false#M276672   A ",10,Apr,2020,09,falcoflash,Phone-systems
25,Can you block nuisance calls on a business line?,https://business.forums.bt.com/t5/Phone-line/Can-you-block-nuisance-calls-on-a-business-line/m-p/82815#M3430,I am wanting to give advice to elderly parents who have a business landline at the farm and are harassed by nuisance calls. Can this be set up on a business line? ,19,Mar,2020,16,jgb1402,Phone-systems
26,Number Porting while in contract,https://business.forums.bt.com/t5/Phone-line/Number-Porting-while-in-contract/m-p/82763#M3428,Hi wondering if anyone can give me the right information. We are currently in a contract with BT business for our landline and broadband. However we are moving away to voip services and we wanted to port our business number. This being said we also would like to keep the BT broadband as its needed for voip to work. So my question is that is it possible to port my number away and request BT to renumber the line so I can continue with the broadband service or does sending a porting request automatically place a cancellation request?          I have tried speaking to BT chat and could bot get an yes or no answer.          Can someone point me in the right direction please? ,16,Feb,2020,09,Srikanaparthy,Phone-systems
27,Pin Request,https://business.forums.bt.com/t5/Phone-line/Pin-Request/m-p/82732#M3425,Is there a way to request a new telephone pin online?             I never received one at the beginning of my contract as my email address was noted incorrectly over the phone.... ,02,Feb,2020,15,Ejc81,Phone-systems
28,New BT Quantum System!!!,https://business.forums.bt.com/t5/Phone-line/New-BT-Quantum-System/m-p/82714#M3423,"We have recently got the Mitel 8568 system and kinda been sold as everything we could ever need in a phone, but we dont even see what phone number is calling, is this a setting within the phone, or a subscription issue.             At the time of getting the new phone system the sales guy also upgraded out landline and internet contract, if this is a subscription issue surely he should have included it so we got the full benefit of the new phone system, or does it not display numbers?             I have emailed the rep twice and both times he has read my email and both times he has not bothered to respond (and why should he, he has got the sale!)             Any advice would be gratefully received. ",24,Jan,2020,14,miguelkhan,Phone-systems
29,PIN to retrieve voicemail on BT Yealink W52P,https://business.forums.bt.com/t5/Phone-line/PIN-to-retrieve-voicemail-on-BT-Yealink-W52P/m-p/82704#M3419,"class=""lia-quilt-row lia-quilt-row-message-subject""    class=""lia-quilt-column lia-quilt-column-24 lia-quilt-column-single lia-quilt-column-message-subject-content""    class=""lia-quilt-column-alley lia-quilt-column-alley-single""    class=""topic-subject-wrapper""    class=""lia-message-subject lia-component-message-view-widget-subject""    class=""MessageSubject""    class=""MessageSubjectIcons "" I've just joined a new office and am trying to retrieve voicemails on the handset (specs in title).  It seems to be set up to do this but I don't know the PIN associated with the account.  There's no record of it in the office and the boss doesn't know it.  How do I reset it or is there a factory default PIN I can try? The issue seems to be at the BT service package end rather than the handset settings.                               class=""lia-quilt-row lia-quilt-row-message-body""    class=""lia-quilt-column lia-quilt-column-24 lia-quilt-column-single lia-quilt-column-message-body-content""    class=""lia-quilt-column-alley lia-quilt-column-alley-single""    class=""lia-message-body lia-component-message-view-widget-body lia-component-body-signature-highlight-escalation lia-component-message-view-widget-body-signature-highlight-escalation""    class=""lia-message-body-content""          All information I can find online seems to relate only to setting the handset up, not resolving a lost PIN for a BT account.             Thanks in advance ",21,Jan,2020,16,EALouise,Phone-systems
30,How Do I upgrade my internet speeds???,https://business.forums.bt.com/t5/Phone-line/How-Do-I-upgrade-my-internet-speeds/m-p/82700#M3417,"P class=""_1qeIAgB0cPwnLhDF9XSiJM"" any1 here know how I can upgrade my internet? I called my internet service provider multiple times this year asking if I can get better speeds in my area... I have 25 down and 5 up now for like 3 years, so I cant rly stream on twitch or I dont get the speeds I want., In april I called them and they said I will get better speeds ""very soon"" and its been like 6 months, I also get higher ping when other people use the internet and stuff so its kinda important for me, they said I cant get higher speeds unless the line to my house gets upgraded, I live in the west of Ireland and a lot of people around me have faster speeds than me like 150 down and 30 up , which would be perfect for me. can anyone help me? ",20,Jan,2020,07,yantyler,Phone-systems
31,Request Specific Phone Number,https://business.forums.bt.com/t5/Phone-line/Request-Specific-Phone-Number/m-p/82518#M3412,"Hi,             I've tried searching but can't find anything that up to date.             I'm looking to obtain some specific phone numbers that are showing as operated by BT. None of them are in use.             Is there any way that we can request this?           We're currently a BT Business customer.             Thanks      David ",15,Nov,2019,14,mcdonald,Phone-systems
32,Problems with your BT landline?,https://business.forums.bt.com/t5/Phone-line/Problems-with-your-BT-landline/m-p/82494#M3408,"If you have problems with your BT phoneline, there are a few checks that we recommend you carry out before calling us. These checks can help you resolve your issue, or at the very least help you eliminate any internal wiring problems that could be impacing your serv   &amp n ",07,Nov,2019,14,RyanJames,Phone-systems
