headline,reviewBody,Author Name,Published Year,Published Month,Published Day,Review,SA Negative,SA Positive,Review Case
Beware of the final payment scam,"GP00327164This company is all about money making, with terrible customer care.... Beware of final payments - spoke to complaints dept about leaving BT, all they were interested in doing was selling be another contract, swapped to new provider on 29th Nov and BT feel it is fair to still charge me a extra month from 1-31st of Dec because I did not make it clear I was leaving 30 days earlier....So now I am giving BT 90 quid for no service providedIf you are tempted by BT, save yourself, they are only interested in you money and tie you up in contracts.",Rowanbank Guest House,2021,12,23,1,0.091,0.119,Positive
Appalling service from BT,"Appalling service from BT. The landline has been faulty for 3 weeks now. An engineer has been booked 2 and twice failed to attend! So I just waited at home having taken time off work for no one to turn up. Yet, the BT response was ‘we book engineers in good faith’. Still no landline and no one knows what to do. Next step Ombudsman.",Magdalena Phatty,2021,12,23,1,0.206,0.04,Negative
I waited 2 months to not receive a…,I waited 2 months to not receive a internet connection for my business they cancelled my first order without telling me then did not fulfill the next order fqter me speaking to 4 managers which lost me a lot of money with my delivery services very very bad customer service I do not recommend them,Earth's Kitchen,2021,12,23,1,0.227,0,Negative
BT.... TERRIBLE SERVICE!,"Terrible service from BT. I had a speed issue last week and an Open Reach engineer was sent out. He said my socket had gone so replaced it. My speeds had dropped from the usual 65+Mbps to 48Mbps. I made numerous speed tests after he left  and was pleased to see 73Mbps for a day or so then it began to decrease, day by day. I'm now getting around 48Mbps again! I contacted them and a chap phoned back to say that as long as I'm not getting under 44Mbps then it's contractually correct and within their parameters. He factory reset my hub remotely and I now have to reset all my devices. Speeds still 48. They are going to send me out a new hub which will supposedly fix the issue. I doubt that very much. If speeds don't get back to normal soon I'm going elsewhere for my broadband!! It appears that BT are adamant they want me to receive the bare minimum speed they can get away with. There's a brand new housing estate just built down the road from me. I suggest that BT want to drop my speeds to enable sufficient bandwidth for the new homes. There are plenty of other ISP's out there! Very disappointed. Speeds have been great for several years...... So why the sudden drop? Improve my speeds ASAP BT or take a hike!!!!!",Chris,2021,12,23,1,0.056,0.062,Positive
Rubbish service again after being…,Rubbish service again after being treated like an idiot for a month by them they decided to credit my account with £3.99 waste of time I just checked my bill they have actually added £3.99 to my bill I think this company is run by kids they don’t seem to know what they are doing the biggest mistake I ever made was switching from virgin media to bt be careful people you will get nothing but stress from bt and then people who have no idea what they are doing just adding money to your bill disgusting service and terrible customer service I will be going back to my old supplier,Robert Stanley,2021,12,23,1,0.143,0.065,Negative
Worst wifi ever....DO NOT EVER BUY BT!!!!!,We were promised wifi by the 10the December and it never came and they said there is problem in connection and then that went on for days and then after a couple of days they said the account is the problem. They don't rhe problem of why our wifi isn't working. The worst wifi ever. And still after 2 weeks of being calling them to get an update I have left bt and I am very happy. This is the worst wifi ever. DO NOT EVER BUY BT BROADBAND.,Aaliah Akil,2021,12,22,1,0.082,0.132,Positive
The five stars are for Fiona in…,The five stars are for Fiona in Belfast.If you need any technical help she is an angel oracle or both. I phoned BT a few days ago  my hub would not connect WiFi to some devices and none in certain areas of my home.I waited 30 minutes got cut off twice.Spoke to someone who raised and closed that as a complaint telling me I may not have been hung up the system cuts calls off and puts another through?? Really what?? Took them so long to go through that then tell me I need to speak to another team about faults I gave up.Tried again spoke to a Lee who tried to sell me a new package with disks ..then a Roberta in Belfast who told me ah yes TP hub just use your MYBT log in ..now no connection at all!!!I knew she didn't have a clue but now from bad to worse.Phoned back got Noel ..again in Belfast.He was completely out of his depth kept repeating himself sounded on another planet and as if he was trying to bore me to death to end the call.Finally he said he would have someone call me it was too complex for him!Ready to raise the roof I got a call from Fiona in yet again Belfast.She was not put off by my seemly complex prroblem.In fact was full of glee and straight off the bat after confirming what was going on asked me about my ethernet cable and PPPOE.Bingo! We are now connected everything working she also gave me top tips for my Sky Glass and Sonas which my own Tech guy was at a loss for.So went from no connection due to Roberta not knowing what she was doing to Noel clearly making me feel guilty for phoning to finally getting the astounding Fiona and now a happy customer.Christmas saved and I can work from home.Yes it was a non BT router but advisor fudging resulted in no broadband that is very much a BT issue hence a minus ten for Roberta  plus a minus ten for Noel which was a horrible and painfull call.BT how many times do you have to call before you get someone who knows what they are doing?We are staying with BT purely due to Fiona being so brilliant.Please ensure she gets some praise.She saved you a customer hope you get her a bottle of something nice BTModaraters Let me know if you would like my BT account number to verify,Chris Piano Guy,2021,12,22,5,0.086,0.114,Positive
A loyal customer let down,Moved house and was told everything would be up and running for the 27th November . Order got cancelled by bt (told computer glitch) new connection date 14th December . Told pack of lies about not loosing my space in the fiber cabinet. Lost space in fiber cabinet. Bt told me nothing they could do and advised to go to another provider to see if they had fiber available. Pretty poor service for a company that I have been with for nearly 10 years and told to check daily to see if any slots open up in the cabinet when I only moved one Street away and was being connected to the same fiber cabinet. Would I recommend bt ? Straight answer no. Seem to be happy to lie and dodge questions. Sick of phoning them constantly to be told different lies on what they could do to sort the issue. Now stuck with copper broadband and can't use it for work🤬Oh and a side note they don't answer the Twitter account or contact you when they know they are in the wrong and have messed up.,Darren logan,2021,12,22,1,0.129,0.056,Negative
Fantastic Fibre Broadband service,I'll start off saying its been several years since I have been with BT for broadband services. I have recently signed up to their full fibre servicePreviously been with Sky and Plusnet which worked through the Openreach network anyway. No issues for several years on lesser products however.I am now into my 3rd month on their 150mbps package and it has been a top quality service. Proving to be consistently delivering the speeds promised at the point of sale and the WiFi connection internally has had no issues whatsoeverYou want a high quality service for full fibre? BT will give it to you. That's my experience,Brendan Duffy,2021,12,22,5,0.041,0.052,Positive
Terrible Service,"So the recent storm brought down the post supplying our landline. Living in a rural location with poor mobile signal at best, I reported the problem from the car, a mile away from home. The call handler was not interested in the problem, just dispatching an engineer. Told here this was a waste of time and the pole had snapped. She eventually understood but sent a man in a van to tell me he couldn't help and would put an action plan in place. Two weeks later a chat with Bombay Telecom, sorry pun intended, told me it had been fixed and to rush home from a mile away. Nope, not fixed. A chat to New Dehli the next day, in the freezing cold, to an advisor that was adamant it was fixed, the engineer says so! Looking at my snapped pole at the time and not happy. Even ""the supervisor, Vickie ( really!) didn't achieve any satisfaction and was then told the fault was probably in my house and I would be charged £85 if it was found my pet or Building work had caused it! Complaint raised, but obviously, no way of be contacted! A call to Solihull followed, and although the guy at least understands English, the earliest fix date was another 9 days. Xmas, oh dear cancelled due to no Internet, calls, mobile, signal or covid!!! Yeah it is my choice to live rural, but I am only half a mile from the A1! An 83 and 78 year old with no communication isn't good. Oh an the EE hub you promised yesterday, still isn't here 1800hrs!",Mark Brown,2021,12,22,1,0.159,0.036,Negative
My sister was taken into hospital 5…,My sister was taken into hospital 5 months ago after her vertebra cracked and went into her spine she's now paralised from waste down she's been a customer of bt for yrs she's now completely bedridden and back home bt cut her phone of today which is also her emergency line she had no internet this is the most disgraceful phone provider I've ever come across her payments are up to date and they keep fobbing her of with excuses and lies shocking treatment you should be ashamed,Andy,2021,12,22,1,0.188,0,Negative
Took forever to get connected,"Took forever to get connected, had to ring up and say if you don't connect me I'll just send the router back, eventually did connected but got told I wouldn't be charged a full months bill as I didn't have the service they offered for a couple of weeks but guess what I was charged the full months bill. Also got charged a connection fee but I rang up when they had an offer on where there was no connection fee, to be fair I did get that reimbursed, but still not happy I got charged for a full month when I wasn't connected for a couple of weeks. They tried to blame the connection in the area but there's plenty of our neighbors have internet and they said there was never a problem getting connected, so really don't know what the issue was or if it was just laziness by the engineer.",Gemma Raine,2021,12,22,1,0.064,0.087,Positive
DO NOT USE BT UNLESS YOU'RE HAPPY FOR THEM TO EITHER SELL ALL YOU RPERSONAL DETAILS OR TO ALLOW THIER DATABASES TO BE HACKED - BT IS NOT A TRUSTWORTHY COMPANY!!!,"I was with BT for a few years then in the Summer I changed to Sky for TV, phone and broadband.Since then I've been getting endless calls from 0207 numbers telling me either 15-20 people are accessing my broadband, or that there is a fault on the line.Either way, they always know my full name, email address, home address, mobile number, landline number and are able to send me a 2 factor authorisation code for my BT account.They try to get me to give them remote access to my device - SCAREY SCAM FOR SOMEONE UNAWARE!As I say, I don't have a BT account so it's obviously a scam, but the email address they quote I never used for anything other than BT, so I am disgusted that BT seem to have sold this level of my personal information.I have reported it to BT and they basically just said I did the right thing and never to follow the scammers instructions.Just been on the BT website and tried to log a complaint which I can only do by logging into my BT Account (which I don't have) or by phoning and queueing - only to probably be fobbed off again.",Kerry Edwards,2021,12,22,1,0.09,0.012,Negative
BT do something nice for loyal customers,I feel Bt are a generally a good company but the prices the charge are astronomical for what u get I have been with by for nearly 20 years and there is no incentives for long serving customer which I think they should have something  like sky your loyalty rewards for the number of years you have been with am sure Bt could do something like that or will take away from there profits,Bruce Middleton,2021,12,22,2,0.031,0.32,Positive
Just started a contract with bt,"Just started a contract with bt. Was excited to get our internet up and running in our new house over the Christmas period. However, when the engineer came out (we are staying 1 minute from the property as decorating at the moment) he called my mobile which lasted for one ring - I suspect so he can say he tried to get hold of me. No more than 30 seconds later I phoned him back immediately and text him also, with no response. Clearly he just left! Unbelievable! This left is without internet for the entire Christmas period as they won’t come back until after! Really upset and quite frankly makes me want to go with virgin media",ImJack RS,2021,12,22,1,0.084,0.066,Negative
BT please respond,"Angry... is barely the wordWe totally regret leaving our previous provider as, from BT’s ads- and subsequent calls to them, we believed we would have a superior experience broadband speed experience.Complete BS. We joined BT in Jan 2021, and, to be fair, some initial speed issues were sorted in good time... then I (account holder) received a call 10 months later to advise me to upgrade to Halo 3 - and I agreed to it.Speed promise: - with a verbal and tv campaign promise of no less than 60mb download speed, including unlimited call-outs etc, etc, etc, I can testify that after 2 engineer call outs and them trying to resolve our speed problem, I have now learned that that the speed guarantee is only to your home, not from your router to devices - please take note: we live in a regular council house and cannot get speeds beyond 40mb, (and often see speeds so low as 12-16mb - honestly)I have contacted customer services to REPEAT over what slow speeds we are experiencing, and in my latest call I was told that what I am getting is ''good enough to be fair''... what???I requested that we be returned to our old tariff due to not getting aby moe value for money - and I was advised that a revert-to-previous contract (words to that effect) was not possible as the cool-off period had elapsed. I complained that during the 'coolong off period'' I was advised by engineers who came to our house, to wait 4-5 days to see if the speed problems are resolved after their intervention. Ultimately, despite my mild-mannered protestations, and suggestion that I may seek legal advice, I suspect that many unhappy paying customers, like me, will have to see out the contract...I thought I would have faith in a BT productI truly regret joining BT for the issues we are experiencing, and hope others do not have the sameI invite BT to respond with my review and the information they have on our calls, so that readers can see for themselves.:-( :-(:-(",G Wilks,2021,12,22,1,0.067,0.114,Positive
Please don’t use this company,Absolutely disgusting company. I have my broadband with them and cannot wait to leave! You can see why they do it as a 24month contract. I would describe it like how I imagine it being in prison. Trapped and unable to leaveUpdate following a reply from BT.They refuse to help and tried to get me to spend more money on a wifi booster and an upgraded package. I already pay £35/month and live in a very small 2 bedroom house so I hardly think a booster should be necessary!,brandon Whitham ,2021,12,21,1,0.16,0.07,Negative
bt bad  service,my  mother  is  moving  flats  but    where  she  was  buying  the  flat  from  the  paper  work  wont  be  ready  untill the  new  year  change  the  date  to  the new  year  but  bt  cut  her  phone  off a  have  ben  trying  to  get  for  phone put  back  on  for  over  a  week  with  no  luck  everyone  who  works  for  bt  on  the  phones  promise  the  line  will go  back  on  but  its  still not  on  and  they  wanted  70 pounds my  mothers  85  and  without  a  phone,Lynne Simon Wilds,2021,12,21,1,0.087,0.075,Negative
BT are a complete waste of time,"BT are a complete waste of time, money and effort, don't even consider them! There customer service is absolutely appalling, they don't get anything sorted and when they do they mess something else up, not to mention numerous phone calls and long waiting times, the phrase too much chiefs and not enough indians spring to mind, wish we never joined them in the first place, with Sky now who are quite simply brilliant, customer service is excellent and so is the broadband and tv, avoid bt like the plague!",Layton,2021,12,21,1,0.099,0.131,Positive
SHAMBLES,"Called BT 6th December to inform them i was moving house on the 9th of December. NO PROBLEM at all for them, booking confirmed for the following Monday for connection at the new property, brilliant. Monday 13th - NO CONNECTION. My order had automatically cancelled. Another confirmed booking for connection on Tuesday 21st December.....WAIT FOR IT.......... NO CONNECTION !!!! System error their end. Another 5 working days and they should be able to sort it. So NO internet or TV until after Christmas. My 5 year old daughter thanks you BT for the slick service you provide. HAPPY CHRISTMAS !!!!!!!!!",Phil,2021,12,21,1,0.178,0.094,Negative
STAY FAR FAR AWAY from BT,"Absolutely pitiful, I bought BT gaming broadbandhoping it would be a saviour from the HELL TALK TALK sent my way BUT NO it was an absolute load of crap for the first month it was just about bearable but now it has got to the point where after just 5 minutes of trying to play an online a game with my friends I WANT TO CRY!!! The latency goes from about 60ms to 1000ms and back to 60ms in about 5 seconds it does this every 10 seconds this makes it almost imposable to play any online combat games like call of duty or fortnite and then when I tried to get an engineer over to fix it he said there was no problem and threatened to make me PAY £90 JUST FOR THE CALLOUT TO FIX MY SODDING WI-FI then when I challenged him about my problem he magically found a problem and ""fixed"" it. My Internet is still absolutely terrible to this day! Just waiting for the day that I can finally switch to ZEN internet.          STAY AS FAR AWAY FROM BT AS YOU CAN!!!!!!",Ed,2021,12,21,1,0.205,0.074,Negative
If I could give zero stars I would!,"If I could give zero stars I would!! To start with we were 3 weeks without any WiFi as they didn’t send any leads with the router. And poor old Rodger the 72 year old “engineer “ couldn’t hardly stand up little own set it up for us.! They then sent an airiel engineer which put a booster in and it was problem solved.then the hidden charges turned up despite being told it was all free from them. Absolutely disgusting communication, we were delayed moving house due to the dreaded Covid-19. Only by a month however they still took on the next tenant in our property we are still living at, they wanted us to pay £480 to end the contract because they had a new customer trying to get set up in our property. We explained we couldn’t move due to some holdups and on the phone was fine. They then continued to cut us off regardless and not even acknowledge the fact we were transferring them to our new property when we moved. I will be taking them to court and I hope they see all the negative feedback they are getting as a company. It’s poor service, lies over the phone and huge bills that appear from nowhere.! Avoid these despite any deals they present to you as I promise you will be left out of pocket with no explanation.",Nick,2021,12,20,1,0.142,0.05,Negative
Once again bt have found another fault…,Once again bt have found another fault on our broadband i have lost count on how many times we have had an engineer out we are currently getting 5mb download speed when we should he getting 25mb absolutely disgusted by the service bt provide and all they can do is send out an engineer. We leave bt on the 29th of December 2021 they are accrediting our account in 14 days pointless....,Reece Ramsey,2021,12,20,1,0.129,0,Negative
Absolutely disgusted with this company,"Absolutely disgusted with this company. Taking random payments, not being transparent and communication absolutely appalling. I live in a 3 bedroom house yet I’ve been charged for 15 devices! This has been going on since September. 3 calls and told the same thing “yes we’ve removed that error and you won’t be charged we are very sorry” £80 taken from my account because BT “forgot” to authorise initial direct debit. Currently on hold for the 4th time. An hour later and cut off due to politely asking for the transcripts of the calls with me repeatedly asking if this 15 device thing had been removed. Can not believe such a big company can get away with this. Training requirements are much needed along with transparency! Avoid at all costs Absolutely disgusted with this company and reading the other reviews I’m not the only one! When will you consider your customers BT?",LJ X,2021,12,20,1,0.136,0,Negative
I applied to BT to swap my broadband to…,"I applied to BT to swap my broadband to themselves. However, BT stated due to my Credit Score they couldn't offer me their services. However, BT didnt do 1 Check for 1 order!! They did over 10 hard searches totally destroying the credit score that I did have!!!!!!! Everday they would text me saying it was ok to apply now and without my consent would then run more credit checks!!!!!! BT have now asked me to carry on with my order and pay my up front fee. They must be joking!!!!!!I'd love to be with BT but not at the expense of me building up my credit score.For a company this big their attitude towards potential customers is disgusting! And by the looks of their reviews they should be disgusted in themselves!!!!",Graham Worthy,2021,12,20,1,0.114,0.094,Negative
Dan the Super Aerial Man from BT…,"I had an extraordinarily efficient BT engineer fixing my loft aerial late in December 2021and going the extra mile as he also adjusted an aerial not working from the digital BT box. This is ""DAN"" who did a superb job of care, he was tidy, patient and gracious! Thank you Dan!!",Jane Price,2021,12,20,5,0,0.28,Positive
Got every single interaction with me wrong.,"I was with BT for 5 years. Initially, things were ok, but then one day, I can't even remember why, I called them up for an issue. On the call, they explained that they could halve my broadband bill, and it would be no cost to me. Great! Confusingly, an engineer turned up the following week. He couldn't really work out what was going on, and nor could I, but he had a look and left.Turned out his job had been to install a 'second' broadband line. Why would anyone want that. So rather than paying half, I was paying double. OBVIOUSLY this wasn't something I'd asked for, nor could it 'possibly' have been a misunderstanding. Sorting this out was not quick. At all. Customer service were immediately understanding, from the word go, apologetic. And yet it still took forever.We then had to temporarily (9 months) move house, and took the broadband with us. During the move, we were given a mini hub, which was vital because we didn't actually get broadband for a while, and even then the engineer had to be a bit shifty, because there wasn't actually any BT infrastructure, it shouldn't really have been sold to us. Moving back, we were told our old property, that we'd been in for 4 years with BT, could not have BT broadband installed. They thought maybe installing a phone line might change that on their system so that was booked in, and a second mini hub was sent out. (Because the first one wouldn't work?) The mini hub didn't work. I called, and was told ""Yeah, it wouldn't, because your move has already happened"". Sort of defeating the purpose. Was told she'd send out another one, but this proved to be a lie when I called again 2 days later, and finally, a third (!?) mini hub was sent out. This ALSO didn't work, but at this point it had been 48 hours since getting our phone line, so figured I could just phone to get our broadband back up, since I was already paying for it.Thankfully, somehow along the way, unbeknownst to me, my broadband contract had actually been cancelled (which is possibly why the third mini hub also didn't work, so much for 'always on'). Pretty opportune moment to change providers, I feel.The vibe I get is that the customer service reps just don't actually have enough power, or are crippled by inefficient systems and red tape. The things they say, and attitudes are always great, but then the actions, the physical outcomes of calls with them is ALWAYS universally terrible.",Richard,2021,12,20,1,0.044,0.058,Positive
Was promised it would be installed…,"Was promised it would be installed before Christmas, now after waiting 1 month I have now been told it’s going to be in the new year! I’ve already paid one month of Service and no product has been set up!!Choose another internet provider, don’t go with BT",Joe Creed-Kaile,2021,12,20,1,0.045,0.069,Positive
I find BT great I have broadband and 2…,"I find BT great I have broadband and 2 sim contracts , only downfall me and my mom been waiting months for a £50 Amazon voucher and keep getting told it’s on way .",Kara Rose,2021,12,19,4,0,0.182,Positive
"Internet installed in wrong flat, 2 months wait until internet access will be possible","Was with BT for 2 years, and thought I would take out a fresh contract for 70mb DL speeds in a new flat I was moving to. The date provided was great, as the engineer would attend and do the installation before I move in, so would be a smooth transition. I get a text saying the engineer doesn't need to come and that the internet would be up and running, great. However, the internet isn't working so they send me a new hub and splitter, 2 days Royal Mail fail to deliver. So I call Royal Mail and they inform me that they do not have my correct address. So I call BT and it turns out they have started the contract and completed the installation at the wrong flat.Moving forward, I feel I have been on the lowest priority list possible. I had to wait 1 full month for the engineer to turn the internet on, however this was turned on a 0.5mb download speed - I now need to wait until January 5th to turn the internet onto the correct speed. At the moment, the internet is completely unusable for how slow it is, so I can't use it for work, so I have the joy of commuting to work in the cold, coronavirus ridden underground.I've been told I would be compensated fairly, so I'm assuming they will follow Ofcom ruling. Either way, 2 months to get online is disgraceful, and emailing me my bill crisply on time is the cherry on top.",James Smith,2021,12,19,1,0.037,0.066,Positive
100% failure to install fibre,"I started back in the summer to get fibre 900 installed but as usual B.T cocked this up. First the adviser said I didn't need to be in when the engineer came but low and behold he needed access to my house to install a box. I complained to a team leader then they arranged another visit to which open reach moved the date without informing me. So rearranged it again and the they just didn't turn up. So that was the last straw and I cancelled the order. So black Friday deals come and thought I would try again ( big mistake). First the engineer was spot on and fitted everything but I received a fault after he left. I phoned B.T technical team and they said that I was getting switched on later that day but i informed them that I had the internet working but it was a fault, he told me its fine and that it would be fine when i get switched on so i waited a few hours and yes you guessed it the fault was still there. They could of get the engineer back but the advisor thought he knew more than me.  I spoke to someone who was on the technical team and they confirmed what I told them. So another engineer was booked in for the following day 1300hrs to 1800hrs. THE OPEN REACH LAZY IDIOT DIDNT EVEN SHOW UP. So B.T are absolutely useless and should be fined for treating customers like this. VOLO13-642392605778 TO PROVE THAT ITS ONGOING. SORT YOUR COMPANY OUT, DON'T EVER GO WITH B.TREPLY TO B. T stop giving the standard response rubbish because if actually read the review, you would notice its ongoing. Stop giving customers the BS",Andrew Sykes,2021,12,19,1,0.125,0.066,Negative
Absolute disgrace,"Absolute disgrace! Can’t wait until my contact is up and I can move elsewhere! Nothing but problems with BT from installation to providing a reliable service. Went moths without a constant service recently and was sent out a mini hub eventually after constantly complaining that the internet was knocking off for 10-50 minutes all day everyday. I still paid my bill for this shoddy service (never experienced this with sky, had to move to BT as they and virgin at the time were the only ones supplying fibre direct into the home) anyway due to a bill error they cut me off on Friday for a £17.10 underpayment ( I wasn’t aware of this underpayment as it wasn’t mentioned on my bill) no warning at all. They have absolutely no loyalty to their customers if they did they would have told me I could claim money off my bill during the months of constant poor or no service (found this out later) we are faceless numbers to them.",Janis,2021,12,19,1,0.142,0.045,Negative
