,Title,Link,Description,Day,Month,Year,Hour,Creator,Topic
11,Staying safe online:  Free 10 minute training,https://community.bt.com/t5/Announcements-Guides-Community/Staying-safe-online-Free-10-minute-training/m-p/2187501#M3586,"span class=""lia-inline-image-display-wrapper lia-image-align-center"" image-alt=""SFT Staying safe online_Hero side-by-side Full 1920x800 px.jpg"" style=""width: 999px ""   img src=""https:  community.bt.com t5 image serverpage image-id 74858i7B10DA2A47760FA1 image-size large?v=v2&amp amp px=999"" role=""button"" title=""SFT Staying safe online_Hero side-by-side Full 1920x800 px.jpg"" alt=""SFT Staying safe online_Hero side-by-side Full 1920x800 px.jpg""      span   &amp n ",07,Oct,2021,13,SeanD,Announcements
12,E-mail asking me to update my BT Mailbox,https://community.bt.com/t5/Announcements-Guides-Community/E-mail-asking-me-to-update-my-BT-Mailbox/m-p/2178030#M3492,"I received an e-mail at the end of July asking me to accept new Terms of Service and Privacy Policy for my e-mail account or it would be suspended on 1 8 21.  I thought it looked a little suspicious so ignored it and my account wasn't suspended.  This morning I have received a second e-mail referring to the one in July again asking me to log in to my e-mail account to accept the Terms of Service and Privacy Policy, failure to do so will result in my account being suspended on 18 8 21.  Is it a phish? ",16,Aug,2021,08,gasmanswife,Announcements
13,reporting phishing,https://community.bt.com/t5/Announcements-Guides-Community/reporting-phishing/m-p/2175772#M3483,Why is phishing@bt.com not working today. Fowarded emails are rejected by BT. 04 08 2021 ,04,Aug,2021,09,BazBazza,Announcements
14,Priority Service for the elderly and disabled.,https://community.bt.com/t5/Announcements-Guides-Community/Priority-Service-for-the-elderly-and-disabled/m-p/2171480#M3408,BT Priority Services for the elderly and disabled. Your telling lies BT. Hang your head in shame BT ,10,Jul,2021,16,windleweb57,Announcements
15,COMPLAINT TO OMBUDSMAN,https://community.bt.com/t5/Announcements-Guides-Community/COMPLAINT-TO-OMBUDSMAN/m-p/2169454#M3401,"I am after some help, I am a BT business customer that was mis sold a cloud system to my restaurant instead of normal BT business and broadband package . This happened in 2018 and is still ongoing, I have hundreds of emails and IMP complaints to resolve this, I now have no service because BT decided to close my last complaint stating it had been resolved which was in December 2020 , obviously its not but by them stating ""resolving the issue"" ths generated all the bills since this was raised which are 3 times as much as what they would have been should I have had the product I ordered in the first place. I have now spent another 40 mins having to go through everything again to be told that they wont open a new complaint if I go to the Ombudsman as this will raise a complaint directly with BT, however, I have done that as below - but it automatically came up as case closed as the only option relevant to my complaint was to select OTHER - which states it can't help on so closes the case. Could anyone help on th   &amp n ",29,Jun,2021,15,nnac1705,Announcements
16,Community category and board name changes,https://community.bt.com/t5/Announcements-Guides-Community/Community-category-and-board-name-changes/m-p/2167611#M3391,Hi Every   I wanted to share with you some changes that I have made today to one of our Community categories and one of the boards that sit in this categ ,18,Jun,2021,12,SeanD,Announcements
17,Scam Alert! BT Package price increase scam,https://community.bt.com/t5/Announcements-Guides-Community/Scam-Alert-BT-Package-price-increase-scam/m-p/2167386#M3389,Good morning every   I have yet another scam to make you aware of.  This time the email purport to come from ,17,Jun,2021,09,SeanD,Announcements
18,How do I contact a moderator?,https://community.bt.com/t5/Announcements-Guides-Community/How-do-I-contact-a-moderator/m-p/2167198#M3385,"Hi sorry, new to the forum - how do I contact a moderator I don't seem to have the option to PM anyone?                    edit - after posting this the envelope icon appeared allowing me to PM.             Many thanks. ",16,Jun,2021,09,Kielty23,Announcements
19,Scam Alert! Calls purporting to be from Mobile Network Operators,https://community.bt.com/t5/Announcements-Guides-Community/Scam-Alert-Calls-purporting-to-be-from-Mobile-Network-Operators/m-p/2166321#M3380,"Hi Every   I hope everyone is keeping safe and on the lookout for scams.  I have another example to share with you all of a, particularly nasty s ",10,Jun,2021,14,SeanD,Announcements
20,You’ve won an iPhone 12 Pro Max,https://community.bt.com/t5/Announcements-Guides-Community/You-ve-won-an-iPhone-12-Pro-Max/m-p/2165717#M3377,Hi      Has anyone else received a private message from “Bears” stating that you’ve won an iPhone 12 Pro Max? Grammar of the message is terrible. Obviously some sort of scam. How do these people manage to get my username? ,08,Jun,2021,05,villan,Announcements
21,Not able to reset passwordfor BT community.,https://community.bt.com/t5/Announcements-Guides-Community/Not-able-to-reset-passwordfor-BT-community/m-p/2164817#M3370,Hi i wanted to log into the BT community on the 28 05 20021 but could not remember password so i did a reset password but nothing happened so i tried another 3 times still nothing. The next day i saw in my spam email that the first two went into my spam email approx 2.5 hours later and the second two had arrived in my spam folder over 6 hours later in the middle of the night. I used the link on the last one and it said that the token had expired. I then did the forgotten password thing again i manged to try reset within 10 minutes of email arriving and again it said token had expired. I spoke to BT on chat who said they could not help and told me to ring 0800800150 but they could not help. So i have had to registar under my other email to ask if anyone can help me get my account in my original email address. ,01,Jun,2021,16,Anonymous,Announcements
22,Genuine call or Scam?,https://community.bt.com/t5/Announcements-Guides-Community/Genuine-call-or-Scam/m-p/2164288#M3368,"I received a call from a lady saying they were BT and my internet connection had been compromised and action was needed to remove intruders.   They sent an email with a PIN number which looked genuine  and said this was proof they were BT so I would know it was not a scam.   They asked me to go to a   FONT color=""#FF99CC""   EM fake   EM    FONT  BT security site . it was all logo'd up to look like a BT site but the graphics resolution  did not look right to me, they asked me to go to security on the menu and select Mac security and so I refused to go any further.  I asked them to email me  instructions to follow when I could access MyBT. They said they would and then hung up. so far no email.  So genuine call or Scam? ",28,May,2021,14,mlynch,Announcements
23,Suspected phishing email purporting to be from BT,https://community.bt.com/t5/Announcements-Guides-Community/Suspected-phishing-email-purporting-to-be-from-BT/m-p/2163506#M3362,"Received today 21 05 2021 at time 2022      TABLE width=""600""   TBODY   TR   TD width=""600""   TABLE width=""600""   TBODY   TR   TD   TABLE width=""560""   TBODY   TR   TD     TD    TR    TBODY    TABLE    TD    TR    TBODY    TABLE          TABLE width=""600""   TBODY   TR   TD   TABLE width=""560""   TBODY   TR   TD width=""50""    class=""mceNonEditable lia-copypaste-placeholder""                TD   TD width=""490""   TABLE   TBODY   TR   TD   Billing     Department            TD    TR   TR   TD   BT        TD    TR    TBODY    TABLE    TD    TR    TBODY    TABLE    TD    TR    TBODY    TABLE          TABLE width=""600""   TBODY   TR   TD   TABLE width=""540""   TBODY   TR   TD     TD    TR    TBODY    TABLE    TD    TR   TR   TD   TABLE width=""100%""   TBODY   TR   TD     STRONG Please check your billing details   STRONG        TD    TR    TBODY    TABLE    TD    TR    TBODY    TABLE          TABLE width=""600""   TBODY   TR   TD   TABLE width=""540""   TBODY   TR   TD   Hi,       TD    TR    TBODY    TABLE    TD    TR    TBODY    TABLE          TABLE width=""600""   TBODY   TR   TD   TABLE width=""540""   TBODY   TR   TD   Our payment processor has detected incorrect or out of date billing information which needs updating immediately.       TD    TR   TR   TD   We usually suspend your Bt service(s) if you don't update your billing information within 2 days.       TD    TR   TR   TD   Please log into your MyBt account by clicking the buttton below and update your billing information to prevent suspension or termination of your service(s).       TD    TR   TR   TD     TD    TR   TR   TD   You're currently paying:       TD    TR    TBODY    TABLE    TD    TR    TBODY    TABLE                        TABLE width=""600""   TBODY   TR   TD   TABLE width=""540""   TBODY   TR   TD         STRONG £58.23   STRONG       a month for and that will continue to be       STRONG £58.23    STRONG      a month on       STRONG 23 October 2020   STRONG      .       TD    TR    TBODY    TABLE    TD    TR   TR   TD   TABLE width=""540""   TBODY   TR   TD   We always want you to get the right package at the best price. So we've pulled together the options you now have and the best available offers for you.       TD    TR   TR   TD     STRONG Renew or upgrade with us   STRONG      It's really simple to stay with us. You can upgrade to one of our new offers or renew your current contract. Just get in touch and we'll take care of everything.       TD    TR   TR   TD           TD    TR    TBODY    TABLE    TD    TR    TBODY    TABLE          TABLE width=""600""   TBODY   TR   TD   TABLE width=""100%""   TBODY   TR   TD     STRONG A choice of new deals for you   STRONG        TD    TR    TBODY    TABLE    TD    TR   TR   TD   TABLE width=""540""   TBODY   TR   TD   TABLE width=""540""   TBODY   TR   TD         STRONG Our best deal for your current Broadband package - Fibre with BT Halo 1 &amp amp  Complete Wi-Fi &amp amp  700 Minutes   STRONG             TD    TR    TBODY    TABLE    TD    TR    TBODY    TABLE    TD    TR   TR   TD         STRONG £69.99    STRONG                STRONG   month†for 24 months   STRONG         TD    TR   TR   TD     TD    TR    TBODY    TABLE    TD    TR   TR   TD   TABLE   TBODY   TR   TD width=""27""   TABLE   TBODY   TR   TD    class=""mceNonEditable lia-copypaste-placeholder""                TD    TR    TBODY    TABLE    TD   TD       Keep Connected Promise            TD    TR   TR   TD width=""27""   TABLE   TBODY   TR   TD    class=""mceNonEditable lia-copypaste-placeholder""                TD    TR    TBODY    TABLE    TD   TD       Keep a fast connection in every room. Guaranteed.            TD    TR   TR   TD width=""27""   TABLE   TBODY   TR   TD    class=""mceNonEditable lia-copypaste-placeholder""                TD    TR    TBODY    TABLE    TD   TD       Want to change your minutes? You can personalise your call plan with our flexible options            TD    TR    TBODY    TABLE    TD    TR   TR   TD     TD    TR    TBODY    TABLE ",23,May,2021,20,5progface,Announcements
24,BT Groups on Community has launched,https://community.bt.com/t5/Announcements-Guides-Community/BT-Groups-on-Community-has-launched/m-p/2163008#M3361,Hi Every   I am delighted to let you know that today we have launched ‘BT Groups’ in the Commun ,21,May,2021,07,SeanD,Announcements
25,'Request Entity Too Large' error when signing in,https://community.bt.com/t5/Announcements-Guides-Community/Request-Entity-Too-Large-error-when-signing-in/m-p/2162885#M3355,"Just got this error again while trying to use the forum.    See screen grab below using Chrome      There is a solution:  clear all cookies associated with BT but I suggest many users won't be aware of that and those that do might not be aware how to selectively clear cookies by site      So some sort of design fault is there with how BT are using cookies and that's the problem that needs to be fixed please               span class=""lia-inline-image-display-wrapper lia-image-align-inline"" image-alt=""request entity too large.png"" style=""width: 453px ""   img src=""https:  community.bt.com t5 image serverpage image-id 73214iCA85745873CB1D88 image-size large?v=v2&amp amp px=999"" role=""button"" title=""request entity too large.png"" alt=""request entity too large.png""      span ",20,May,2021,12,Stevek1311,Announcements
26,Scam Alert! Scam missed delivery texts and Flubot Malware,https://community.bt.com/t5/Announcements-Guides-Community/Scam-Alert-Scam-missed-delivery-texts-and-Flubot-Malware/m-p/2157535#M3345,"Flubot malware is malicious software that is installed when a victim receives a text message and follows a link, asking them to install a tracking app. This could be informing them of a ""new voicemail"" received or a ‘missed package delivery’. The tracking app is in fact spyware that steals passwords and other sensitive data and then also sends out multiple text messages to further pass on the malware.       We will be sending text messages to customers that we have identified as being impacted by this scam, the text messages will link to this community article and we have including the contents of the text below so that you know it is genu ",14,Jul,2021,09,SeanD,Announcements
27,Scam Alert! Text message pretending to be from DHL regarding a delivery,https://community.bt.com/t5/Announcements-Guides-Community/Scam-Alert-Text-message-pretending-to-be-from-DHL-regarding-a/m-p/2156918#M3344,"Hi Everyone,&amp n   We are seeing reports of customers receiving text messages pretending to be from DHL around tracking a parcel delivery.&amp n ",23,Apr,2021,11,SeanD,Announcements
28,Ancient web site,https://community.bt.com/t5/Announcements-Guides-Community/Ancient-web-site/m-p/2156555#M3336,"Hi      This is an odd one but hopefully I can get help, many years ago I use to have a BT account, with this account I was given some space for free to make a basic website, which I did, the address was.        A href=""https:  www.btinternet.com ~myusername"" target=""_blank"" https:  www.btinternet.com ~myusername   A       A few years ago it disappeared, is there any way I can retrieve the files i uploaded to this website, it has some nostalgia on there that I would like to retrieve, or are they lost forever? ",21,Apr,2021,00,slpierce,Announcements
29,Hassle logging into BT Community Forums,https://community.bt.com/t5/Announcements-Guides-Community/Hassle-logging-into-BT-Community-Forums/m-p/2153696#M3321,"I have been a member of BT Community Forums for several years. My problem is logging into the forum service. I do not visit the area frequently. If I do, it is mostly to get solutions to issues as opposed to social interaction or ""lurking"" through posts. Additionally, I have a habit of periodically for security reasons changing my passwords on all of my social media sites and forum areas. So there is a clue to my problem      When I wish to   STRONG change the password   STRONG  to this area, using the prescribed method on the login page, I receive an email to my account inviting me to change the password. So far, so good. When I try to log in with the   STRONG new password,   STRONG  I get mostly two errors. The first saying that ""I do not have permission or authorisation......"" and later after too many attempts to try and login I get the familiar ""Login attempt exceeded""      Passwords meet complex specifications      Now I think, If my memory is correct, I have had to register about three maybe four times here under different usernames email addresses passwords just to circumvent the problem and this morning, I have had to do the same because I wanted to check up on the progress of a previous technical query, -which I cannot find for obvious reasons since I am a registered new member!      So my additional   U   STRONG and new query   STRONG     U is what can I do to stop these login issues recurring? In about a year from now I will routinely change my password and I do not wish to get the same problems recurring. Any suggestions would be appreciated. ",07,Apr,2021,08,hknowuk,Announcements
30,Scam Alert! Caller claims to be from BT with a request you download Team Viewer,https://community.bt.com/t5/Announcements-Guides-Community/Scam-Alert-Caller-claims-to-be-from-BT-with-a-request-you/m-p/2150839#M3314,Hi Every   We have come across scam call which has the potential to trick customers into believing that the caller is from ,22,Mar,2021,14,SeanD,Announcements
31,Scam Alert! Automated voice message scam,https://community.bt.com/t5/Announcements-Guides-Community/Scam-Alert-Automated-voice-message-scam/m-p/2146748#M3304,Hi Every   We are seeing a rise in voice message scams so I wanted to share these examples with you so you can watch out for t ,05,Mar,2021,15,SeanD,Announcements
32,mail received asking me tAgree to the new unified Terms of Service and Privacy (📫 Action Required),https://community.bt.com/t5/Announcements-Guides-Community/email-received-asking-me-tAgree-to-the-new-unified-Terms-of/m-p/2142976#M3296,Is this a real email? Telling me if I don't agree to the new terms and conditions by Feb 28th my email account will be deleted.     I just don't trust these types of emails - sending me to a survey site... ,18,Feb,2021,12,llyspoon,Announcements
33,Scammers,https://community.bt.com/t5/Announcements-Guides-Community/Scammers/m-p/2135939#M3260,"I’ve read with interest some of the messages relating to scammers. Having once had a role where my company needed to educate hundreds of employees on how not to get scammed, I’d like to make a few suggestions:      Do not tell the scammer “there is no such company as BT Openreach, they became separate companies in 2017” This is just giving them information they can use in the future. If scammers keep telling people they are “BT Openreach” they are confirming they are not legitimate.      Don’t get mad with them. It will only raise your blood pressure.      Don’t blow whistles, sound claxons or make other loud noises.      Ideally, don’t engage with them at all. Just hang up.      If you want to retaliate and are not concerned about your phone being engaged for a while, ask them to hold on for a moment, then place your phone on your desk table etc and go about your business. After 15 minutes or so, pick the phone up and see if they are still there. If they are, excuse yourself again and repeat until they give up.      All the time the scammer is holding on, waiting for you, is time they are not using to scam someone else.      If you think it might be a genuine call, there is nothing wrong with    STRONG   EM you   EM    STRONG  asking  STRONG   EM  them    EM    STRONG security questions. A genuine caller will be able to answer questions about you and your account that scammers cannot.     You can also test a caller by deliberately giving a wrong answer to a security question. If they accept the incorrect answer then you know they are scammers. ",28,Jan,2021,15,grahamm1,Announcements
34,"Scam Alert! Phone call followed by email, purporting to be from BT",https://community.bt.com/t5/Announcements-Guides-Community/Scam-Alert-Phone-call-followed-by-email-purporting-to-be-from-BT/m-p/2135471#M3258,"Hi Every   Scammers are putting more effort into trying to convince unsuspecting BT customers, that they are calling from ",27,Jan,2021,13,SeanD,Announcements
35,BT have emailed me asking me to confirm their terms of service by 30th Jan.,https://community.bt.com/t5/Announcements-Guides-Community/BT-have-emailed-me-asking-me-to-confirm-their-terms-of-service/m-p/2135111#M3254,"Bt have emailed me telling me that I must confirm their terms of business by 30th Jan or they will terminate my account. But the link they offer does not open, and the email they sent is unmonitored and cannot be replied to.      What should I do. ",26,Jan,2021,15,shooie,Announcements
36,Scam Alert:  Phishing email about the COVID vaccine on the NHS,https://community.bt.com/t5/Announcements-Guides-Community/Scam-Alert-Phishing-email-about-the-COVID-vaccine-on-the-NHS/m-p/2134640#M3251,Hi Every   I want to share with you another example of how scammers are trying to exploit COVID and in particualr the rollout of the COVID vacci ,25,Jan,2021,14,SeanD,Announcements
37,"Scam Alert:  Caller purporting to be from BT, asking you to download an app to screen share",https://community.bt.com/t5/Announcements-Guides-Community/Scam-Alert-Caller-purporting-to-be-from-BT-asking-you-to/m-p/2133374#M3250,Hi Every   We have seen another example of malicious actors trying to exploit BT custom ,21,Jan,2021,15,SeanD,Announcements
38,How can I close my BT Community account?,https://community.bt.com/t5/Announcements-Guides-Community/How-can-I-close-my-BT-Community-account/m-p/2133288#M3249,"We are sorry to see you go   span class=""lia-unicode-emoji"" title="":frowning_face:"" ☹️   span   &amp n ",21,Jan,2021,11,SeanD,Announcements
39,Who’s who in the BT community,https://community.bt.com/t5/Announcements-Guides-Community/Who-s-who-in-the-BT-community/m-p/2132844#M3246,Ever wondered who’s helping you sort your broadband or giving you the best advice on new tech? Here’s our rundown of who’s who in the BT commun   &amp n ,20,Jan,2021,09,SeanD,Announcements
40,Another spam message,https://community.bt.com/t5/Announcements-Guides-Community/Another-spam-message/m-p/2132034#M3197,"This is a get rich quick message from ""    Buttheads     ""      One for the  Moderators! ",18,Jan,2021,08,MrGrumpyGrump,Announcements
41,BT’s Lockdown Learning – keeping kids connected while schools are closed,https://community.bt.com/t5/Announcements-Guides-Community/BT-s-Lockdown-Learning-keeping-kids-connected-while-schools-are/m-p/2129772#M3193,"Hi Every   With children now learning from home again, BT is increasing efforts to support disadvantaged children with their online learning through our new Lockdown  Learning Support Scheme &amp n ",11,Jan,2021,15,SeanD,Announcements
42,Scam Alert! NHS Text about the COVID vaccine,https://community.bt.com/t5/Announcements-Guides-Community/Scam-Alert-NHS-Text-about-the-COVID-vaccine/m-p/2128180#M3190,Hi Every   We have noticed a new scam currently circulating by text message and this scam is particularly v ,06,Jan,2021,11,SeanD,Announcements
43,"New level of Scam, very scary",https://community.bt.com/t5/Announcements-Guides-Community/New-level-of-Scam-very-scary/m-p/2122817#M3153,"Hi, just been scammed with a new level of sophistication.      Just got a call from someone pretending to be from BT  with the obvious accent and background noise.      He said he was genuine and offered to send me a confirmation text to the number ending in 123 which was my number.      normally  I just hang up but he knew my cell number but intrigued I agreed.      He sent the text from  64 364 and it matched all other texts from 64 364,  I then confirmed the number with him.      Seconds later while were chatting (I was just wasting his time by now)  I got a second text from 64 364 saying my email password had been changed, I hung up on him and immediately went through the password reset for email and account ( both were changed). If it was not for the easy BT password reset I would have been doomed.        STRONG The question is , how did he know my cell phone last 3 digits ,how did he sppof text via BT 64 364 , and how did he change my account and email passwords.   STRONG       Something similar ,but not as sophisticated, has happened once before, both occasions were just days after contacting BT tech support for help. Are these scammers so good now that they have hacked into BT?  STRONG         STRONG ",17,Dec,2020,11,99scouser,Announcements
44,Is there a modarator on?,https://community.bt.com/t5/Announcements-Guides-Community/Is-there-a-modarator-on/m-p/2122307#M3138,I have received an unsolicited message. Really not happy abou this. ,16,Dec,2020,09,Annbu,Announcements
45,Scam Alert: Phishing email pretending to come from BT Billing,https://community.bt.com/t5/Announcements-Guides-Community/Scam-Alert-Phishing-email-pretending-to-come-from-BT-Billing/m-p/2121966#M3137,Hi Every   Our security team has noticed an increase in the number of phishing emails being sent which purport to be from BT Billing.  Within the 'Sent' field it will state 'Billing System' and the subject title may be 'Please check your billing details'&amp n ,15,Dec,2020,10,SeanD,Announcements
46,Private message which is spam,https://community.bt.com/t5/Announcements-Guides-Community/Private-message-which-is-spam/m-p/2121058#M3076,Good Morning      I am not sure if this is the correct board.       I have received a private message from another Community member that is spam. How do I report this as I believe it is against the rules. I expect this person has sent a similar message to other members and personally feel they should be removed from the Community.       Regards      Molly4 ,13,Dec,2020,06,Molly4,Announcements
47,How to become a Community Leader,https://community.bt.com/t5/Announcements-Guides-Community/How-to-become-a-Community-Leader/m-p/2117681#M3075,"Community Leaders are highly active members of the community who don’t work for BT but spend some of their free time using their expertise and experience to help users on a variety of issues. &amp n   As a very small thank you, our Community leader program was designed to recognise community members who go above and beyond to h ",02,Dec,2020,14,SeanD,Announcements
48,Scam alert: COVID: The UK-GOV has issued a payment of £349.76,https://community.bt.com/t5/Announcements-Guides-Community/Scam-alert-COVID-The-UK-GOV-has-issued-a-payment-of-349-76/m-p/2117604#M3065,Hi Every   Please remain vigilant and be on the lookout for scammers trying to exploit COVID with various ruses to try and trick people into sharing personal details.  One of the latest scam ,02,Dec,2020,11,SeanD,Announcements
49,Netflix Scam,https://community.bt.com/t5/Announcements-Guides-Community/Netflix-Scam/m-p/2113178#M3039,I've just had a message purportedly from Netflix asking me to update my payment details.  Ha    If you get it or something similar just watch out for the link:   STRONG Netflixplayer(dot)com - Edited   STRONG ,17,Nov,2020,14,RIC9380,Announcements
50,Close my Community account - to a Learned Sage or a Moderator,https://community.bt.com/t5/Announcements-Guides-Community/Close-my-Community-account-to-a-Learned-Sage-or-a-Moderator/m-p/2112947#M3037,"Hello - I can find no way of closing my Community account myself so I have to ask someone else in the Community to do it for me.  This is what BT themselves have just told me.  Not ideal.  So could someone please close my Community account please.  I have no idea if you will be able to email me to say it has been done, but please try.  Thanks. ",16,Nov,2020,16,goingroundincircles,Announcements
51,You’ve won an iPhone 12 Pro,https://community.bt.com/t5/Announcements-Guides-Community/You-ve-won-an-iPhone-12-Pro/m-p/2112637#M3027,Hi      Has anyone else received a private message from “Bears” stating that you’ve won an iPhone 12 Pro?  Grammar of the message is terrible.  Obviously some sort of scam.  How do these people manage to get my username? ,15,Nov,2020,15,GillyB,Announcements
52,Meet our Get Help team and hear about our plans for the rest of the year,https://community.bt.com/t5/Announcements-Guides-Community/Meet-our-Get-Help-team-and-hear-about-our-plans-for-the-rest-of/m-p/2104588#M3012,"data-contrast=""auto"" Hi Everyone,         data-ccp-props=""{&amp quot 201341983&amp quot :0,&amp quot 335559739&amp quot :160,&amp quot 335559740&amp quot :259}""             data-contrast=""auto"" We         data-contrast=""auto""           data-contrast=""auto"" would like your help!           data-contrast=""auto"" As the community manager, I          data-contrast=""auto"" am part         data-contrast=""auto""           data-contrast=""auto"" of the Get help team in our Digital department.          data-contrast=""auto"" We         data-contrast=""auto""           data-contrast=""auto"" w         data-contrast=""auto"" ant          data-contrast=""auto"" to share          data-contrast=""auto"" ou         data-contrast=""auto"" r plans for the upcoming          data-contrast=""auto"" months         data-contrast=""auto""  -         data-contrast=""auto""  and         data-contrast=""auto""  get         data-contrast=""auto""  your          data-contrast=""auto"" questions and          data-contrast=""auto"" feedback          data-contrast=""auto"" to help us          data-contrast=""auto"" keep the focus on the right things.          data-ccp-props=""{&amp quot 201341983&amp quot :0,&amp quot 335551550&amp quot :1,&amp quot 335551620&amp quot :1,&amp quot 335559739&amp quot :160,&amp quot 335559740&amp quot :259}"" ",03,Nov,2020,15,SeanD,Announcements
53,Ex employee need payslips,https://community.bt.com/t5/Announcements-Guides-Community/Ex-employee-need-payslips/m-p/2103300#M2995,"What is the quickest was an ex employee to get a copy of payslips, need ASAP for mortgage application ",15,Oct,2020,21,Chetherington,Announcements
54,Scam alert! Phishing email purporting to be from the DVLA,https://community.bt.com/t5/Announcements-Guides-Community/Scam-alert-Phishing-email-purporting-to-be-from-the-DVLA/m-p/2102860#M2993,Hi Fo   Another phishing email we have seen being reported is one which reports being from the D ,14,Oct,2020,13,SeanD,Announcements
55,Ideas Bank: Unable to post,https://community.bt.com/t5/Announcements-Guides-Community/Ideas-Bank-Unable-to-post/m-p/2102158#M2985,Hi.      Can't post to idea bank. Account is minutes old. Do I have to wait? ,11,Oct,2020,19,hernot_working,Announcements
56,Welcome to the BT Community Forum,https://community.bt.com/t5/Announcements-Guides-Community/Welcome-to-the-BT-Community-Forum/m-p/1545504#M2969,&amp n     STRONG   U What’s it all about?   U    STRONG   If you are new to the world of forums then a brief explanation is called for.  An online forum is a place whereby people can go to interact with other people on certain subjects.  There are millions of forums live today on the World Wide Web each covering every subject you can imagine and each with a different goal.  The BT Community forum is a support forum whereby BT customers can interact with other BT customers with the aim of either seeking help and advice or offering expertise to help other customers.  The goal of our forum is to give customers an arena to share their expertise and experience with one anot ,11,Apr,2018,13,SeanD,Announcements
